Muscle	Fo (N)	FT (--)	Lo (cm)	Lu (cm)	W (--)	a0 (cm)	r1 (cm)	r2 (cm)	r3 (cm)	r4 (cm)	r5 (cm)	r6 (cm)	r7 (cm)	r15 (cm)	r16 (cm)	r17 (cm)
Iliopsoas	1102	0.56	11.20	9.55	0.90	19.74	3.97	−0.80	0.34	0	0	0	0	0	0	0
Gluteus maximus	1853	0.52	15.70	6.43	0.83	15.72	−5.37	0.40	−2.18	0	0	0	0	0	0	0
Gluteus medius	2200	0.52	7.30	5.63	0.56	13.16	−1.58	−4.58	0.01	0	0	0	0	0	0	0
Gluteus minimus	585	0.52	5.40	3.10	0.56	8.62	−0.17	−4.55	1.10	0	0	0	0	0	0	0
Adductor magnus	2001	0.46	14.43	10.05	0.56	24.88	−1.73	7.24	−0.11	0	0	0	0	0	0	0
Quadratus femoris	254	0.50	5.40	2.40	0.56	7.90	−0.13	4.14	−4.64	0	0	0	0	0	0	0
Rectus femoris	849	0.68	7.60	34.60	0.99	36.82	4.71	−2.29	−0.27	5.31	0	0	0	0	0	0
Hamstrings	2170	0.36	12.00	31.50	0.56	46.93	−5.58	3.02	−0.34	−3.42	0	0	0	0	0	0
Vasti	4723	0.59	9.83	11.60	0.69	15.83	0	0	0	4.76	0	0	0	0	0	0
Biceps femoris (sh)	316	0.36	11.00	10.40	0.56	22.53	0	0	0	−1.12	0	0	0	0	0	0
Gastrocnemius	1914	0.56	5.50	39.15	0.92	44.51	0	0	0	−1.81	−4.01	−0.29	0	0	0	0
Tibialis anterior	674	0.30	6.80	24.10	0.93	30.66	0	0	0	0	3.99	−1.30	0	0	0	0
Soleus	3842	0.14	4.40	28.20	1.11	32.06	0	0	0	0	−3.92	−0.36	0	0	0	0
Peroneals	1049	0.41	5.83	19.37	0.56	25.97	0	0	0	0	0.39	2.40	0	0	0	0
Extensor digitorum	510	0.30	6.90	36.70	0.56	45.07	0	0	0	0	3.71	1.05	0.55	0	0	0
Flexor digitorum	711	0.20	4.50	37.80	0.56	43.81	0	0	0	0	−1.05	−1.89	−0.63	0	0	0
Erector spinae	2588	0.44	12.00	3.00	0.56	15.00	0	0	0	0	0	0	0	6.80	0	0
Rectus abdominus	1500	0.60	12.00	3.00	0.56	15.00	0	0	0	0	0	0	0	−7.50	0	0
External obliques	751	0.55	12.50	21.10	0.56	33.60	0	0	0	0	0	0	0	−3.00	10.00	0
Internal obliques	620	0.55	12.50	16.50	0.56	29.00	0	0	0	0	0	0	0	−3.00	0	2.50
